Time;EMG1;EMG2;EMG3;EMG4;EMG1_F;EMG2_F;EMG3_F;EMG4_F;
6309;0;0;0;0;30;30;30;30;
6319;0;0;0;0;30;30;30;30;
6330;0;0;0;0;30;30;30;30;
6340;0;0;0;0;30;30;30;30;
6351;0;0;0;0;30;30;30;30;
6361;0;0;0;0;30;30;30;30;
6371;0;0;0;0;30;30;30;30;
6382;0;0;0;0;30;30;30;30;
6391;0;0;0;0;30;30;30;30;
6403;0;0;0;0;30;30;30;30;
6415;0;0;0;0;30;30;30;30;
6427;0;0;0;0;30;30;30;30;
6437;0;0;0;0;30;30;30;30;
6448;0;0;0;0;30;30;30;30;
6461;0;0;0;0;30;30;30;30;
6472;0;0;0;0;30;30;30;30;
6485;0;0;0;0;30;30;30;30;
6494;0;0;0;0;30;30;30;30;
6503;0;0;0;0;30;30;30;30;
6512;0;0;0;0;30;30;30;30;
6522;0;0;0;0;30;30;30;30;
6531;0;0;0;0;30;30;30;30;
6540;0;0;0;0;30;30;30;30;
6550;0;0;0;0;30;30;30;30;
6559;0;0;0;0;30;30;30;30;
6570;0;0;0;0;30;30;30;30;
6580;0;0;0;0;30;30;30;30;
6589;0;0;0;0;30;30;30;30;
6597;0;0;0;0;30;30;30;30;
6610;0;0;0;0;30;30;30;30;
6621;0;0;0;0;30;30;30;30;
6632;0;0;0;0;30;30;30;30;
6643;0;0;0;0;30;30;30;30;
6654;0;0;0;0;30;30;30;30;
6664;0;0;0;0;30;30;30;30;
6675;0;0;0;0;30;30;30;30;
6686;0;0;0;0;30;30;30;30;
6696;0;0;0;0;30;30;30;30;
6705;0;0;0;0;30;30;30;30;
6716;0;0;0;0;30;30;30;30;
6726;0;0;0;0;30;30;30;30;
6736;0;0;0;0;30;30;30;30;
6746;0;0;0;0;30;30;30;30;
6757;0;0;0;0;30;30;30;30;
6768;0;0;0;0;30;30;30;30;
6778;0;0;0;0;30;30;30;30;
6788;0;0;0;0;30;30;30;30;
6798;0;0;0;0;30;30;30;30;
6809;0;0;0;0;30;30;30;30;
6820;0;0;0;0;30;30;30;30;
6831;0;0;0;0;30;30;30;30;
6840;0;0;0;0;30;30;30;30;
6850;0;0;0;0;30;30;30;30;
6859;0;0;0;0;30;30;30;30;
6869;0;0;0;0;30;30;30;30;
6880;0;0;0;0;30;30;30;30;
6890;0;0;0;0;30;30;30;30;
6900;0;0;0;0;30;30;30;30;
6909;0;0;0;0;30;30;30;30;
6919;0;0;0;0;30;30;30;30;
6929;0;0;0;0;30;30;30;30;
6938;0;0;0;0;30;30;30;30;
6948;0;0;0;0;30;30;30;30;
6958;0;0;0;0;30;30;30;30;
6968;0;0;0;0;30;30;30;30;
6979;0;0;0;0;30;30;30;30;
6988;0;0;0;0;30;30;30;30;
6998;0;0;0;0;30;30;30;30;
7007;0;0;0;0;30;30;30;30;
7017;0;0;0;0;30;30;30;30;
7028;0;0;0;0;30;30;30;30;
7037;0;0;0;0;30;30;30;30;
7052;0;0;0;0;30;30;30;30;
7061;0;0;0;0;30;30;30;30;
7072;0;0;0;0;30;30;30;30;
7082;0;0;0;0;30;30;30;30;
7092;0;0;0;0;30;30;30;30;
7101;0;0;0;0;30;30;30;30;
7111;0;0;0;0;30;30;30;30;
7121;0;0;0;0;30;30;30;30;
7131;0;0;0;0;30;30;30;30;
7141;0;0;0;0;30;30;30;30;
7152;0;0;0;0;30;30;30;30;
7162;0;0;0;0;30;30;30;30;
7173;0;0;0;0;30;30;30;30;
7184;0;0;0;0;30;30;30;30;
7194;0;0;0;0;30;30;30;30;
7205;0;0;0;0;30;30;30;30;
7216;0;0;0;0;30;30;30;30;
7227;0;0;0;0;30;30;30;30;
7236;0;0;0;0;30;30;30;30;
7247;0;0;0;0;30;30;30;30;
