Time;EMG1;EMG2;EMG3;EMG4;
5722;82,96138;-74,00439;-24,24234;-36,40744;
5739;391,0229;70,50622;-29,04007;-31,75929;
5759;-1,068401;6,063674;-21,84344;-46,49721;
5781;-9,237019;30,1922;-29,09628;-46,22246;
5800;362,5374;98,88218;-38,24987;-50,75657;
5818;-96,20992;-72,85189;-42,05427;-53,65196;
5837;29,38046;76,48805;-81,84694;-48,47425;
5856;-33,67385;-8,086092;1,915684;-51,01104;
5874;-32,26285;8,659236;-27,61709;-45,22216;
5892;-33,71214;-4,708593;-29,34245;-39,22944;
5910;-32,77892;-0,2302415;-5,650507;-30,28338;
5928;-34,25967;-6,198438;-7,479652;4,811706;
5946;-33,50948;-9,317886;-29,74059;-49,49013;
5964;-45,31692;-24,78518;-1,056616;-23,86744;
5983;-45,31692;-24,78518;-1,056616;-23,86744;
6003;-24,16666;-8,294496;18,28153;-30,32887;
6020;-33,2918;-7,601388;-36,98141;-26,30505;
6039;-37,64452;-8,47898;-12,16069;-103,3208;
6061;-27,10241;-3,430245;-17,44942;-47,44232;
6080;-32,78711;-8,387328;-19,27478;-50,21838;
6101;-33,23468;-4,710345;-13,82797;-32,514;
6122;-32,87334;-9,245538;-20,01155;-35,72879;
6142;-36,56564;-9,394874;-52,1307;-54,76462;
6159;-32,09;-6,932321;-24,03361;-57,79178;
6177;-34,21684;-7,292675;-59,0088;-24,23248;
6196;-35,46265;-6,387687;-23,37142;-28,81548;
6212;-32,72861;-7,653327;24,04225;9,436798;
6231;-31,95599;-6,87888;-46,0676;-32,23514;
6249;-33,45345;-6,787154;25,57361;-27,07641;
6267;-34,42969;-5,082285;-37,49652;-30,62183;
6285;-31,581;-11,92644;119,8818;-75,42049;
6304;-32,30751;-4,363851;-8,299509;-136,5572;
6322;-32,30751;-4,363851;-8,299509;-136,5572;
6339;-36,37243;-6,434237;-54,32965;-140,7521;
6357;-32,2213;-8,328104;-26,24954;-48,13601;
6378;-35,72416;-7,913401;-16,83205;-34,15983;
6396;-33,5688;-4,091256;-24,73442;-32,61484;
6413;-33,73836;-7,525515;-39,44291;-38,51995;
6433;-32,55385;-5,100947;-28,21612;-50,33173;
6449;-36,26068;-7,840416;-19,88419;-39,63833;
6466;-31,55912;-6,37078;-32,91133;-31,40532;
6484;-33,74681;-7,865337;-29,99974;-33,56816;
6504;-33,73517;-5,46476;-22,46377;-59,82649;
6521;-33,73517;-5,46476;-22,46377;-59,82649;
6542;-32,54969;-4,599253;-12,51176;-35,02354;
6560;-35,65297;-5,919816;-25,31334;-44,54983;
6582;-32,01973;-5,728936;-28,43205;-48,70864;
6599;-33,98682;-6,925599;-26,37405;-46,84941;
6616;-31,02856;-9,79941;-24,71609;-39,26953;
6634;-32,75021;-7,233656;-13,45033;-28,34299;
6651;-31,74585;-6,194649;-21,82347;-42,01643;
6669;-31,83739;-4,962737;-18,63324;-37,73615;
6690;-33,82077;-7,471585;-29,40421;-43,2506;
6707;-32,55467;-5,395757;-24,42552;-46,03856;
6726;-32,31154;-8,249622;-23,28165;-40,38332;
6744;-35,22084;-8,872101;-24,44584;-43,38858;
6765;-32,20673;-2,667351;-27,84649;-43,27597;
6785;-31,67644;-8,260276;-20,30374;-41,29066;
6803;-31,67644;-8,260276;-20,30374;-41,29066;
6819;-32,52427;-6,386086;-27,19666;-44,3549;
6837;-33,9033;-6,483687;-23,50753;-42,32354;
6857;-33,28625;-5,530219;-24,39023;-32,84924;
6876;-35,42545;-8,958524;-24,22515;-32,18687;
6894;-33,99398;-9,733298;-21,27695;-43,29799;
6912;-32,8876;-7,771549;-22,71669;-40,59571;
6931;-34,25668;-9,554763;-28,45031;-36,9471;
6949;-32,02016;-7,49169;-21,80758;-41,5966;
6969;-34,93147;-8,135785;-34,02858;-37,13677;
6987;-32,65866;-7,267586;-21,11858;-34,24947;
7004;-33,33664;-11,30319;-30,76157;-45,25849;
7021;-33,33664;-11,30319;-30,76157;-45,25849;
7039;-34,1996;-6,804532;-30,36865;-34,81913;
7058;-34,14918;-2,485629;-23,14597;-36,58131;
7075;-33,7561;-6,556472;-34,97335;-41,61673;
7093;-34,7751;-8,637484;-28,3605;-39,90311;
7112;-37,59246;-6,117578;-23,36043;-53,79634;
7130;-32,74147;-3,394829;-22,28743;-37,20874;
7148;-37,20838;-8,879428;-25,71781;-39,19119;
7166;-34,78668;-5,833243;-20,0374;-33,87173;
7186;-33,76404;-9,722085;-23,38416;-34,55355;
7203;-33,76404;-9,722085;-23,38416;-34,55355;
7220;-30,50287;-8,753597;-27,90504;-31,77174;
7240;-32,01411;-7,434091;-16,67394;-34,07487;
7259;-33,95598;-3,981253;-25,76832;-41,92602;
7278;-32,67418;-10,76624;-19,79015;-43,10564;
7297;-35,92679;-5,250913;-26,24077;-47,89091;
7314;-36,82047;-5,085157;-21,68948;-35,74537;
7331;-31,21401;-9,480941;-22,23784;-46,518;
7349;-28,11389;-7,980338;-29,33531;-44,69473;
7367;-33,04191;-5,43723;-25,45571;-46,15834;
7385;-33,88908;-7,518438;-23,07864;-47,0259;
7402;-33,88908;-7,518438;-23,07864;-47,0259;
7419;-35,25911;-12,06919;-29,03674;-36,65384;
7437;-34,96318;-6,484173;-25,08582;-36,69102;
7454;-33,37428;-3,766759;-27,58564;-39,28655;
7473;-35,63316;-6,724556;-33,12922;-44,43758;
7490;-33,06067;-7,040818;-27,56531;-37,87093;
7508;-33,59121;-7,737731;-26,66885;-25,91403;
7527;-35,81152;-8,876313;-24,53458;-36,13532;
7543;-34,16784;-6,55833;-28,54915;-35,07891;
7561;-34,16784;-6,55833;-28,54915;-35,07891;
7580;-33,16487;-4,555788;-14,83052;-26,73771;
7599;17,1342;12,43631;-28,95863;-63,22313;
7617;-37,17749;-2,616146;-28,17928;-42,36696;
7634;-32,67215;0,7700992;-18,7846;-47,09826;
7652;22,24079;-25,07934;-22,7913;-41,51773;
7669;-93,13771;-94,09232;-24,96918;-41,40575;
7686;-90,79604;11,13832;-19,4772;-30,30956;
7706;-121,9016;-1,760325;-31,23429;-50,45377;
7756;-31,85992;-26,29375;-27,14831;-39,95947;
7777;-15,97161;-19,85268;2,351957;-89,31097;
7797;-75,86674;-31,14428;48,856;39,75586;
7817;34,01389;123,2227;-222,5036;11,70579;
7835;-39,19619;-11,71474;-204,6569;-150,6495;
7854;-29,76313;0,6864179;46,48344;-529,1739;
7872;-33,28196;-12,51055;-28,11419;-2,15989;
7891;-35,19289;-6,978867;-267,9656;-57,3651;
7910;-33,98244;-5,163228;315,581;-31,60857;
7929;-32,7497;-6,771331;-280,7148;-219,9506;
7948;-25,91323;-6,407682;-63,16368;-48,79287;
7965;-31,3203;-6,9272;227,001;184,9714;
7985;-33,53994;-6,870727;91,71497;63,26894;
8004;-31,59237;-5,007989;-307,1093;-151,799;
8028;-32,32729;-6,18644;-260,5687;-137,2449;
8047;-32,70502;-7,579764;-138,2597;-72,7823;
8065;-32,74894;-6,685081;378,3033;-45,11078;
8086;-32,44283;-3,775796;58,59724;-34,99623;
8109;-33,60976;-5,067541;-29,12356;-24,45124;
8128;-35,37737;-8,922799;-3,066107;-13,0413;
8146;-37,72142;-5,890429;-22,92218;-35,38215;
8164;-32,7433;-9,108493;-35,1277;-28,82003;
8180;-32,7433;-9,108493;-35,1277;-28,82003;
8203;-37,57497;-5,716449;-15,73406;-35,10036;
8222;-33,36928;-6,401772;-39,32064;66,82811;
8242;-34,69664;-6,056151;-27,79881;-54,39364;
8259;-33,39808;-6,070035;-28,62903;-36,88346;
8278;-32,89291;-5,961997;-18,00371;-47,40258;
8296;-36,27438;-5,672865;-22,3107;-44,06575;
8316;-33,05949;-8,379974;-15,57852;-33,2763;
8333;-33,14401;-3,885729;-29,89378;-49,34695;
8352;-29,13142;-10,80411;-29,43575;-43,46987;
8370;-35,03522;-9,400874;-19,72916;-86,35859;
8388;-35,6191;-3,403406;-34,09398;-49,66241;
8406;-33,74065;-9,129664;-35,63309;-55,98912;
8427;-32,9349;-4,872233;-43,31047;-40,37922;
8446;-38,09559;-8,157411;-43,83896;-23,31402;
8466;-34,25155;-7,090066;-34,77541;-73,58862;
8484;-57,58006;-33,61956;-10,98185;-25,89391;
8502;-57,58006;-33,61956;-10,98185;-25,89391;
8518;-14,10049;-56,00428;13,84421;-41,2403;
8537;-31,04169;7,354615;-26,85303;-51,12103;
8554;48,83343;157,2799;-15,44395;-29,62953;
8573;37,39709;-83,23254;-18,49637;-30,06602;
8592;44,37729;23,74388;-29,15503;-36,36525;
8613;473,0345;113,9013;-24,06454;-39,98881;
8635;-63,59168;-0,8550225;-40,11314;-40,44489;
8654;39,14466;7,547071;-52,8993;-28,23944;
8673;-27,09523;-21,7587;69,92146;32,89148;
8689;-103,6745;-14,48454;66,60038;-0,2088109;
8711;-38,84413;-45,16161;204,8352;22,53279;
8732;-30,08005;-6,170043;304,208;-170,3782;
8752;-36,97331;-8,656935;-45,78072;-161,509;
8772;-21,26653;-13,08839;-386,8806;127,2761;
8792;-36,74187;-8,018093;0,9178168;-109,3095;
8812;-35,44091;-8,250074;235,2157;55,32269;
8831;-35,6208;-8,726064;-155,3475;144,4288;
8850;-35,31794;-6,847718;14,45272;-100,3286;
8868;-34,77543;-8,457075;208,0439;-31,3423;
8889;-37,40759;-8,75997;80,32514;-33,57484;
8911;-24,8787;-10,87939;114,2595;-104,7989;
8930;-33,19461;-8,824552;435,8147;11,37464;
8948;-33,90652;-3,86976;-55,32948;-48,96289;
8965;-33,9708;-8,389801;-28,75323;1,590907;
